Review Text,Sentiment
"It’s hard to doubt a steakhouse that has been open for over 20 years, and Lawry’s has shown that serving good quality steak with exceptional service is key to its 20-year success. The ambiance of this steakhouse is second to none, stepping in you are greeted with high ceilings reminiscent of the dining halls in palaces overseas. From the moment you step in, to the moment you leave, the staff there are friendly, always greeting you with a smile.

When at Lawry’s, one has to try the steak that is their namesake, their prime rib. I chose to side mine with some creamed spinach, something that is reminiscent of American steakhouses, which is hard to find in steakhouses in Singapore, much less one that tastes this good. Of course, those are just the accouterments, the main star of the show is the steak. Which tasted phenomenal, succulent and perfectly medium rare, making a perfect pairing with the sauce. I highly recommend coming here, although the name suggests steak, Lawry’s has managed to keep up with the times, offering other meats like chicken and pork, which are also cooked to perfection. I recommend getting a cut off the prime rib when you do come here, as there is a spectacle to be seen. A chef will wheel out the wagon, who will then proceed to cut one off the roast, which if it is your first time, it will seem magical.

From the ambiance to the food to the service, Lawry’s Singapore definitely holds up to its name of being one of the oldest steakhouses in America, but also Singapore.",pos
Staff hardly smile.,neg
The sandwiches were lacking sauces and I had ordered toastedsandwiches but they didn’t toast. Also special request was not to putice in Sprite but the cup was full of ice.,neg
"The restaurant was relatively easy to get to from the MRT.  The food was tasty and prepared well.  We waited quite awhile for our bill only to be told, politely, to just go up to the cashier.  Pretty noisy inside.  On the whole we would go back.",pos
"Definitely nice cafe to hang out . 

Definitely will go again to try those cakes and dessert .",pos
"Good food as always, and service was attentive even thought the restaurant was crowded. I’ve been patronizing IO for several years now and have noticed that their prices have been creeping up over time unfortunately.",pos
"Overall a good experience. Food was good, service was good, atmosphere was fine (furniture a little tired). Only comment is it’s stupidly expensive even for Singapore. Every American chain or restaurant has a bit of a “Singapore Tax” but it just seemed Lawrys was a little over the top. Totally understand it’s right on Orchard (prime real estate) but for what it is, it’s not great value all things considered.
If money is no object, would definitely recommend for a nice Sunday evening dinner.",pos
Delivered v fast & still hot & chicken not overly cooked/dry,pos
It was a very disappointing high tea. Service was not forth coming. Waited half an hour for tea/coffee to be served. Another 15 mins for the high tea to be served. Seat was not comfortable as the seat was low & high arm rest  Too much sweet items vs savoury.  Totally not value for money having to pay $68/pax. Earlier made a reservation for the brunch on Natl Day but cancel it after today's experience & the food taste.,neg
"The environment and service attitude are very good
But compared with the United States and Taiwan
Tastes worse than America …",neutral
"Had birthday dinner here. The prime rib portions are quite generous, service was great and we had a really good time!",pos
Fast service but maybe a different chef this time round,pos
Very nice steak.,pos
"friendly prompt service crew. there hit and misses for the dishes we ordered. for Caesar salad, go for grilled chicken will be a safer bet. we order the trout...which isn't so fresh. pulled pork quesadilla was quite tasty. Shrimp pasta is fairly done. The hot wings are good.",neutral
"Lamb quality is bad. My son’s lamb portion is all fats and hardly anymeat. The packaging is bad; lamb, mash potatoes and salads all throwninto a box; look horrible and lamb sticking onto mash potat",neg
"Steak just place on trolley and sliced in front of client , prefer the steak to be cooked on the trolley . The steak taste good but suggest to take the cow skin away before serving .",neutral
Portion was a bit small but food was not bad. Delivery was fast andsmooth!,pos
My favourite healthier options! Gluten free is good!,pos
"Good as always.  Instad of the truffle bread, we went for the roasted, which was very good.

The lasagna and the orichette were also very delicious.  It wqs an early dinner for us, so we practically had the restaurant to ourselves.",pos
"This place has very authentic italian food.
But it would be better if the chef's specials can be written down for clearer understanding as some terms may be hard to catch.",pos
Missing order!! Order six piece tender came with 4 pieces!,neg
"Food was great, a good selection of wines and can cakes! Service staff was attentive even though it was packed. Spent about $80 per person.",pos
It was soggy - NOT crispy.,neg
"Excellent service and food!

Staff were very friendly and accommodating. …",pos
lousy...hard ...,neg
"The place is untidy, floor is dirty and toilet is dirty.  looks short handed.  waiter and waitress put on smiles.  but it is very difficult to get their attention.",neg
"Everything was great!
The whole family enjoyed the food and the service was quick!",pos
"Been here twice.
We will definitely be back soon.
Thank you",pos
"Not my first time here, decided to celebrate my friend's birthday there. Must not be my luckiest day, as I failed to find the cheese in the chicken cordon bleu, but the chef and staff were great in service recovery. Thanks for turning my day around! 10/10 service!",neutral
Food was absolutely divine! Service was fast as well but clearing of plates were a little slow and kind of had to help ourselves. The ambience was pretty nice and chill for a night out for an affordable price. Would recommend getting the roman stuffed stracchieta and check with the staff of the pasta specials for the day as well!!,pos
If can choose sauce for pork ribs will be good.,pos
"At Lawry's you know exactly what you are gonna get. You'll step back into this old world atmosphere. You'll get a spinning bowl salad prepared tableside on a bed of ice, served on a cold plate, and you'll eat it with a cold fork with Lawry's seasoned salt. You'll get prime ribs carved tableside on a silver trolley by a guy in a tall chef's hat wearing a gold medal 🏅 around his neck. You'll probably get the California/English cut (if you have a smaller appetite) or the Lawry's cut (if you have a bigger appetite). You'll also get a side of creamed spinach or sauteed mushrooms, and then a Yorkshire pudding will be served in a pan. You will probably be too stuffed for dessert. What you get here is consistency. Over the years it has always been the same. Are the uniforms a bit lame? Yeah I think so, especially the gold medal bit. But I think it's good value with the Citibank promotion if you just stick to what you came for, delicious prime ribs. If you liked this review please hit like so that more people will see it.",pos
Great value for money. Taste was good and fast delivery,pos
"Loved the food, ambience and service. Fresh, authentic Italian food.",pos
food tastes lousy.. lamb was very tough.. practically inedible… verydisappointed,neg
"Pasta was nice, but starter calamari was a bit chewy and lacked sauce. Service decent! Would be able to recommend nonetheless, good to try 1!",pos
"We enjoyed the food especially their pizzas, stuffed schiacciata and pitaschio tiramisu.",pos
Very small portions except for the brownie which is huge. Nice experience overall,neutral
Spicy chicken burger lives up to its name :),pos
Irwin was great!,pos
Good location & prompt service,neutral
Food is great as usual. It can get abit hot but that’s fine because there are giant fans.,pos
"Enjoyed the food, enjoyed the service! Good recommendations from service staff, both for wine and food. Pleasant, homely ambience. A place to chill out with friends and family!",pos
"I would say the experience in Lawry’s is the best-ever service I have in Singapore. No matter before, during or after the wedding private function, they are keeping their standard very thoughtful, helpful, friendly and even more than I expected. The staff are very considerate and the signature dishes quality are excellent. It is value-for-money to book their restaurant as private function and enjoying the high ceiling with the natural daylight came into the room, which made the event photos came out nicely. Thank you the team who help us out with the background music and the room decoration. We are more than happy to come back again.",pos
Easy to make a reservation but they didn't seems to find our reservation easily. Went for Sunday Brunch. Food and services were excellent. Will recommend.,pos
Delivered without plastic/paper bag. Not hygienic.,neg
Very crowded today. Perhaps its the festive season. Overall good experience,pos
"food and service was great! love the ambience :)))) pizza is amazing, cant wait to try the carbonara next!",pos
"Enjoyed my visit to Lawry’s awhile back. Great service from the team, constantly checking in on our table to see if we need anything. Attending to every little details for the guest throughout the dinner. 👍🏻 …",pos
Nice good and very worth the price. Good and authentic Italian,pos
Have a wonderful birthday celebration and would like to thank and give a shout out to Yoga and Rama for making this a wonderful experience. Thank you!!!!,pos
A nice cozy environment. Good place to eat steak. Best steak!,pos
"Tried out their lawry cut. The meat was juicy, and tender. The sauce was not overpowering, good pairing to taste the original meat. The service was great and attentive.",pos
"The food is good, ambience is great and service is superb! We feel special with Toni’s attention.",pos
Fast delivery and food arrived hot. 👍,pos
Good,pos
"In overall not much variety and the food just average.
For the price wise quite fair but can be better.",neg
"Really enjoyed our visit, The place was busy but service was good and fast. The food was very nice and well presented. We would definitely go again which is the best recommendation I can give",pos
Best steak ever. Fresh ingredients,pos
"Service crew were patient and friendly, place was cosy and perhaps it was a Sunday evening the restaurant was quiet and a nice place to chat.  

Food was good, the mushroom soup, Cajun chicken and seafood pasta do try!",pos
Excellent food and service!,pos
Fantastic prime ribs. Great service and setting. Fair prices too.,pos
"Food was still warm enough when they arrived, tasty and good portion.Will probably oder again.",pos
"Great variety of quality dishes, friendly service staff, kids friendly",pos
it was very expensive mashed potato.,neutral
"The wait staff are young and new but I could see the effort. But being in a world class hotel, they should have a senior to accompany them. Otherwise food is good.",neutral
"We had an enjoyable dining experience at Lawry’s for my partner’s birthday. The cosy ambience, friendly staff and nice food enriched our experience. Prices are on the high side, but we managed to save a bit due to credit card promo :) in summary, we had a good time. Thanks Lawry!",pos
"Wonderful food and service, as usual. I usually just go with the server’s  recommendations as it’s always spot on.",pos
"All food are good except laksa fish & chips bcos the laksa cream, the coconut taste is over and not spicy. Overall are good. Definitely will be back again.",pos
"Good ambient and server. 
Food is fine excellent . ..",pos
Visit was 10/10. Came for our anniversary and they served us perfectly great.,pos
"This place serves good steak. However, the service does not meet expectations. Considering the exorbitant prices, the service level is comparable to that of a slightly better fast food chain.",neutral
Very American style. Loved it,pos
Went there 2x in one week. Great atmosphere. Good cooking with substantial portions. Service needs more practice and refinement.,neutral
Food tasted great. The restaurant was a bit smokey and came out smelling like food.,pos
Guacamole was not freshly made - it was partially brown,neg
"requested for steak to be well done, it came medium rare.",neutral
"Bit crowded and noisy and service could have been better, but not so bad.",pos
"Good service with a nice ambience in cafe.
Prefers other menus which I have enjoyed more in the past. 
The fish and chips was still good choice by my friend.",pos
Cool looking fine dining reataurant,pos
Italian osteria has really good food and great selection. I enjoyed the lasagne,pos
Food is good and will find time to visit again.,pos
Went on Christmas eve and it was very crowded and noisy. Food was so so too.,neg
Best Pizza because it is still good when cold and even next day,pos
The mala chicken didn’t arrive and coleslaw from the 8 piece originalchicken was missing. ,neg
"Great food, good vibes. I'm a repeat customer and would continue coming back :)",pos
"The was nice, this is my second time visit. Love their Roman scchiacciata and baked pork belly. Both giving interesting taste which must order everytime when visit. Staffs are friendly and helpful too.",pos
"Thank you so much for the great dinner and service! Waitresses were so kind, will definitely come back again :)",pos
Honestly the superfood salad is a scam. The main I greffent is salad. There is no “super food” in this salad and the price is outrageous for what you get. No proteins a part from few grains and couples of almonds. No vegetarian options apart from Omni dishes that can be “vegetarianized”. It’s overprice and not even tasty,neg
Fast delivery and order is accurate. Food is still warm. Only thing is Iwould prefer the beef sauce to be separated from the fries so that thefries will not be so soggy.,pos
The salad served with the Reuben sandwich was bland,neg
"Great and homely Italian food. Love it here. The service was good too. The service staff to customer ratio is good, the food came quickly as well.",pos
Love it! Enjoy the food and service very much:) Thank U,pos
I love the food! Very legit Italian fare. Great for groups to hang out also.,pos
Awesome service and food as always,pos
"Visited Lawry's for a quite dinner and the restaurant lived up to the expectation and shout out to the staff for welcoming us, explaining menu and recommendation.. I will visit Lawry's again for sure",pos
The 1.5hrs limitation is a huge pain. Food is expensive and not spectacular. Not very inclined to return.,neg
"I have debating to wether to write this review or not. I usually do not like to give bad reviews but after discussing it with my wife i think it is best that other travelers are warned. Me and my wife visited Singapore for our anniversary. We choose Lawry's Prime Rib because of the reviews that it had and based on us be in the mood for steak. The appetizer's were good and worth the money.  We had the shrimp cocktail and scallops; we also had a Caesar salad which was good. The main course however was not good, it was kept warm in a cart that traveled around and you could add sides. The sides and the meat were not worth the money at all. This place is so over priced it is not even funny. I had prime rib and so did my wife. It was so bad compared with other restaurants of its caliber and price. We spent almost 400 dollars and got a sub par prime rib and sides. The steak and sides are so over priced. I believe you are paying more for the view than the food.  I unfortunately was looking for a great food experience for our anniversary but we did not get that. They did remember it was our anniversary and brought us a dessert for our anniversary. The staff did not speak clear enough english to understand them at all. I gave them one star which they deserve because the appetizer's and dessert rate a 1 star.",neg
"Please please can you actually slice the pizza  before sending it fordelivery. Every single time somebody does a half arsed job of cutting it,so that I end up tearing the pizza into clumps of dough.",neutral
Barramundi fillet was fresh enough. But the skin which was supposedto be crispy had become chewy. The prawn ‘cakes’ tasted mostly ofdough.,pos
"Always enjoy coming to this cafe - Great vibe, friendly staff and good service! Tong was especially helpful in accommodating our request for an outdoor table. Thank you !",pos
Was very very spicy,neutral
"I love this place (even though i don't eat beef!) for its old school vibe, great service and comfort food (love the creamed spinach and yorkie puds). Expect to hear the birthday song sung many many times",pos
"Would have been better if menu was updated more timely, or state seasonal menu if it changes often...",neg
Coleslaw only half filled. Only 1/3 cutlery provided. Not tasty,neg
The best Italian restaurant so far. Friendly staff add good portion of food. Here it is.,pos
Food and service great as usual. We were seated in the temporary back area as the building is undergoing renovations. Can’t wait to be back when the whole place is done.,pos
Lovely ambience; great food quality and friendly service! Lunch sets are good value.,pos
"A neighbourhood Italian restaurant that never fails to satisfy. Great ambience, casual dining, attentive service members and good selection of food on the menu, supplemented by interesting board specials. The seafood gnocchi was a hit.",pos
Good old school steak,pos
Really very happy to bring our little Nathaniel here as he is so welcomed by the staff,pos
"The chicken (in the risotto) was kinda dry. Feels like the standard wasn't as good as the Holland V branch, but it could just be a one-off.",neg
good,pos
"First time here! Had my birthday and it was a great experience. Everyone was welcoming and friendly, the service was top notch, attentive and receptive, we had our own little corner by the window as well. Food was excellent and so filling. Well worth the money. I believe I was served by Princess and Tuti? Special shout-out for being so kind! But all round everyone was great and I’d definitely go again for my fill of prime rib!",pos
The standard of food is still as good as before.,pos
The meat platter and pork belly burnt ends were fantastic and so was the cornbread.,pos
When I visit again please have stuffed chicken breast available!,pos
"Came here for my birthday celebration with my brother and was honestly quite appalled by the standard of food considering the prices. We got the dinner set meal. The prime rib and beef ribs were decent but they were definitely not worth the price.The lobster was rubbery and the amount of meat on it was just pathetic. The salad was overdressed and was really nothing special in terms of flavour. The desserts were the absolute worst, like an after thought. The cakes were dry and mealy. I left my dessert practically untouched.",neg
Like the atmosphere and decor. Food and service were good. Prime rib was tender and juicy. Lobster pasta was generous and tasty. Steak was decent but had better steaks elsewhere.,pos
"Great service and food. I love the ambience. Good place for chilling with your friends, partners.

We have the pork belly for starters. Ribeye and homemade tagliolini for main course. 
Reservation is recommended else you may not be able to get a seat.",pos
We are lucky to have Denese look after us at dinner. It was because of her attentiveness and humour on top of the good food that made it a very pleasant dining experience. Will definitely be back.,pos
"Held a corporate luncheon at Lawry's private dining room and had a full turnout due to the central location & menu. Food was good, logistic planning was smooth and flexible and the overall experience was splendid. Thank you Ethel, Mona & Jess for the great help/service. Would 100% recommend.",pos
"extremely disappointed that Little Farm no longer serve the grilled rib eye steak. The frites was recommended as alternative, were cooked dried out and don't do any credit to the good meat that are sold at Little Farm.
It gives me the impression that the food is churned out from a central kitchen instead of by chef at the cafe now that the menu is standarised throughout the chain",neg
Great selection of Italian food... enjoyed the atmosphere during the Christmas festive period. Convenient location with ample parking makes this a good place for lunching out!,pos
Meat was raw as it was cooked on the wrong temperature,neg
"Had an exceptional dining experience here and it's one of the restaurants that guarantee a repeat visit. From the moment you walk in, the warm and inviting ambiance sets the stage for a memorable meal.
The star of the show is undoubtedly the Lawry's Cut Prime Rib. It's perfectly cooked, tender, and bursting with flavor making it a meat lover's dream. The USDA Rib Eye is another fantastic choice, cooked to perfection and full of robust flavour.

The spinning salad which is served table side added a fun, interactive touch to our dining experience.

For drinks, there's variety of options to pair perfectly with chosen meals. If celebrating a birthday, a complimentary cake is provided together with a photo making the occasion even more special.",pos
excellent. fast deliverym,pos
My Second time purchasing. The chicken are very crispy and taste well.,pos
"Chef JYI is amazing. My scallops and prawns were less salty. Special thanks to Dinesh who made me look sweet in my photo. Rin is very attentive and gentle. Rahman is vocal and well versed with other dining places, including introducing other outlets for me. He is an icon for Marmalade Pantry. Missed manager Mr Nigel who is on leave.",pos
Had a great dinner on a nice Friday evening. The porchetta and fennel stole the show with its melt-in-your-mouth texture. Shout out to the staff who enthusiastically checked-in on us halfway through our meal amidst all the crowd.,pos
All wonderful,pos
Food was disappointing and extremely salty.,neg
We had a great wedding dinner at Lawry’s. I come here a lot and always enjoy the juicy prime rib and the old-school atmosphere.,pos
I put in a request when I made the reservation to put candles in the dessert as I was celebrating bd of my 2 friends. Since we were arriving together and I wanted to surprise them I didn't manage to inform the server in person but I thought my remarks in the reservation were clear. The dessert arrived with no candles. What a disappointment!,neg
"Too many items missing from the menu. No duck, no roast chicken, no seafood (no mussels, no fish, nothing!), no French onion soup. It was a very disappointing meal. 

The only saving grace was the waitstaff who brought a complementary appetizer a d extended the happy hour special to make it up to us. 

Based solely on the food, I would not eat here again.  Nothing that I wanted was available and the food I got was meditated best.",neg
"Probably one of the not so good PS outlet. Mains were not served at the same time (Ann Siang, One Fullerton, Palais does) and service staff were not attentive",neg
The food taste good but the proce is on the high side.,neutral
"I gave a 2 rating for service cos there is not enough manpower. It was difficult to get hold of the staff. The chairs were uncomfortable as they are low. Also no place to place our bags & stuff we have. Hope the restaurant can look into it and change the table/chairs & able to provide a small stool to place our bags & stuff! Also staff gave wrong info abt the drink. Checked if the Rosemary drink was sour & was informed that its sweet but turned out to be SO SOUR & when we feedback to her, she asked if we want to add more honey? This was quite a disappointment!",neutral
Experience fine dining food with a calming atmosphere. Praise to the staff for the professionalism,pos
"Please support this missionary cafe is the recommendation to my family n friends.
The staff there worked very hard and even the special needs adults 
I am thankful and grateful for them. 
Christian songs will be nice for this cafe.",pos
"It was my wife’s birthday dinner. As she’s pregnant, the kind staffs whom served our table not only got a soft cushion to adhere to her sitting posture , but also making her dish cooked to doneness delicately.  We were also impressed by the Suggestions of our server who gave us constructive ideas while ordering our food.  We enjoyed the evening very much. & we were certain we will visit again in the near future! Kudos to all & keep up the good work!",pos
Food was great as usual But staffs was a lil inattentive,pos
Good stuff. The appetiser is superb. The tiramisu is a must try as well.,pos
"28 Dec 2019 - 2 persons at 5.15pm.

Mixed thoughts on both the food and service here.

Wouldn't travel all the way here again though as I live in the east.

Acceptable, even friendly service from some of the service staff and not so friendly, ""kind of attitude"" service from some service staff.

I was a bit put off by how grimy their drinking glasses were and there was food bits on one of the plates pre-set on our table. Their warm water tasted weird too.

We had the porchetta (S), baked eggplant parmigiana, burrata and traditional stuffed roman schiacciata truffles (S). The first two items were good - crispy pork crackling and flavourful, meat wasn't dry, eggplant was tasty with good texture. For the other two items - burrata wasn't creamy/milky enough, and the outer stretchy layer too thick, the truffle schiacciata needed more truffles. The small portions are good enough for two persons to share.

We didn't order any of their pizzas, pastas or mains as they didn't really entice us.

Prices very reasonable for the items we had.",neutral
Steep prices but nice ambience and food,pos
Good food and service - staff were very knowledgeable about menu and wine and their recommendations were spot on. Mains were quite rich - would have preferred something lighter after the starters.,pos
Always enjoyed the food here. Love the truffle cheese flat bread . Can’t get the name . The baked fish in salt is also delicious,pos
"Miss the buttered potato cubes that was no more on the menu, hope it will be back soon. This time around, tried the crispy Shimeji mushroom which was pleasantly nice too.. will come back soon as we are living nearby!",neutral
"Quite noisy, always full house. 90 mins dining only.",neutral
